District_Name,UnitName,predicted_FIRs_next_year,trend_direction
BIDAR,GANDHI GUNJ PS,101.12,increasing
BIDAR,MANNA EKHELLI PS,101.12,increasing
BIDAR,BHALKI TOWN PS,104.75,increasing
BIDAR,BASAVA KALYANA TOWN PS,110.29,increasing
BIDAR,DHANNURA PS,119.47,increasing
BIDAR,HUMNABAD PS,125.65,increasing
CHAMARAJANAGAR,CHAMARAJANAGAR CEN CRIME PS,14.08,increasing
CHAMARAJANAGAR,CHAMRAJANAGAR WOMEN PS,15.36,increasing
CHAMARAJANAGAR,MAMBALI PS,27.52,increasing
CHAMARAJANAGAR,M.M. HILLS PS,32.0,increasing
CHAMARAJANAGAR,SANTEMARALLI PS,40.32,increasing
CHAMARAJANAGAR,CHAMARAJANAGAR TRAFFIC PS,48.21,increasing
CHAMARAJANAGAR,KUDERU PS,52.22,increasing
CHAMARAJANAGAR,CHAMARAJANAGAR RURAL PS,56.64,increasing
CHAMARAJANAGAR,TERAKANAMBI PS,60.8,increasing
CHAMARAJANAGAR,YELANDUR PS,61.44,increasing
CHAMARAJANAGAR,CHAMARAJANAGAR TOWN PS,63.36,increasing
CHAMARAJANAGAR,GUNDLUPETE PS,74.24,increasing
CHAMARAJANAGAR,HANUR PS,77.31,increasing
CHAMARAJANAGAR,BEGUR PS,81.66,increasing
CHAMARAJANAGAR,KOLLEGALA TOWN PS,90.84,increasing
CHAMARAJANAGAR,RAMAPURA PS,109.65,increasing
CHAMARAJANAGAR,CHAMARAJANAGAR EAST PS,136.96,increasing
CHAMARAJANAGAR,KOLLEGALA RURAL PS,238.08,increasing
CHICKBALLAPURA,CHIKKABALLAPURA WOMEN PS,32.26,increasing
CHICKBALLAPURA,CHINTAMANI TOWN PS,36.66,increasing
CHICKBALLAPURA,DIBBURAHALLI PS,37.44,increasing
CHICKBALLAPURA,CHICKBALLAPURA TOWN PS,40.45,increasing
CHICKBALLAPURA,BATLAHALLI PS,46.67,increasing
CHICKBALLAPURA,CHELUR PS,47.11,increasing
CHICKBALLAPURA,GOWRIBIDANUR RURAL PS,53.3,increasing
CHICKBALLAPURA,NANDI GIRIDHAMA PS,54.61,increasing
CHICKBALLAPURA,CHICKABALLAPURA CEN CRIME PS,70.93,increasing
CHICKBALLAPURA,CHICKBALLAPURA TRAFFIC PS,67.41,increasing
CHICKBALLAPURA,PERESANDRA PS,87.2,increasing
CHICKBALLAPURA,KENCHARLAHALLI PS,71.25,increasing
CHICKBALLAPURA,CHICKBALLAPURA RURAL PS,75.11,increasing
CHICKBALLAPURA,PATAPALYA PS,77.65,increasing
CHICKBALLAPURA,MANCHENALLI PS,103.11,increasing
CHICKBALLAPURA,CHINTAMANI RURAL PS,120.67,increasing
CHICKBALLAPURA,GOWRIBIDANUR TOWN PS,120.75,increasing
CHICKBALLAPURA,SHIDLAGHATTA TOWN PS,129.07,increasing
CHICKBALLAPURA,GUDIBANDE PS,152.32,increasing
CHICKBALLAPURA,BAGEPALLI PS,213.55,increasing
CHICKBALLAPURA,SHIDLAGATTA RURAL PS,222.51,increasing
